address,latitude,longitude
"1035 Acorn Dr, Nashville, TN 37210, USA",36.1509715,-86.7003916
"1417 Charlotte Ave, Nashville, TN 37203, USA",36.160237,-86.7946212
"5643 Kendall Dr, Nashville, TN, USA",36.1396222,-86.8591977
"511 W Meade Blvd, Franklin, TN 37064, USA",35.9147436,-86.8853735
"2621 Nolensville Pk, Nashville, TN 37211, USA",36.1012024,-86.7402656
"1017 Crimson Way, Hendersonville, Tennessee, USA",36.3546193,-86.5899275
"100 Powell Pl, Nashville, TN 37204, USA",36.105687,-86.765079
"2013 25th Avenue North, Nashville, TN, USA",36.1834556,-86.8175797
"3604 Whitland Avenue, Nashville, Tennessee, USA",36.1338111,-86.8254831
"408 Hill St, Lebanon, Tennessee, USA",36.2121,-86.299276
"161 Rains Ave, Nashville, TN 37203, USA",36.1352845,-86.7657337
"4701 Trousdale Drive, Nashville, Tennessee, USA",36.080957,-86.758485
"305 Haywood Ln, Nashville, TN 37211, USA",36.068354,-86.70837
"405 42nd Ave N, Nashville, TN 37209, USA",36.1525132,-86.8371655
"820 Jones Blvd, Murfreesboro, TN 37129, USA",35.8547867,-86.3995696
"824 Fonnic Drive, Nashville, TN, USA",36.2785434,-86.743767
"2417 Deerbourne Drive, Brentwood, TN, USA",35.9780853,-86.7061349
"1102 Dow Street, Murfreesboro, Tennessee, USA",35.8571954,-86.3799841
"2227 Hillsboro Rd, Franklin, TN 37069, USA",35.9567738,-86.88386
"718 Holder Dr, Nashville, Tennessee, USA",36.0842229,-86.6131836
"1040 Secretariat Drive, Mt. Juliet, TN, USA",36.1790653,-86.5406841
"935 Edgehill Ave, Nashville, TN 37203, USA",36.1417924,-86.7819451
"425 south water ave, gallatin, Tennessee, USA",36.3825789,-86.4440983
"1833 Haynes Street, Nashville, TN, USA",36.2036905,-86.7863081
"1409 Buchanan St, Nashville, TN 37208, USA",36.1800118,-86.8080892
"3541 Wood Bridge Dr, Nashville, TN, USA",36.0926903,-86.6112224
"2802 Bransford Ave, Nashville, Tennessee, USA",36.1164813,-86.7662597
"1318 Fairview Blvd., Tennessee, USA",36.0017869,-87.0663311
"1020 3rd Ave, Nashville, Tennessee, USA",36.1479939,-86.7671561
"1906 Glen Echo Rd, Nashville, TN 37215, USA",36.1081196,-86.8096777
"1334 Hazelwood Drive, Smyrna, Tennessee, USA",35.9602073,-86.5204976
"904 Arbor Creek Way, Nashville, Tennessee, USA",36.1327595,-86.6980588
"340 21st Ave N, Nashville, TN 37203, USA",36.1556511,-86.8049685
"1815 Lascassas Pike, Murfreesboro, TN, USA",35.8659086,-86.361863
"620 Hamilton Ave, Nashville, TN 37203, USA",36.1389257,-86.7713311
"3201 Aspen Grove Dr., Franklin, Tennessee, USA",35.946976,-86.832547
"762 E Argyle Ave, Nashville, TN, USA",36.1366361,-86.7819662
"2806 McGavock Pk, Nashville, TN 37214, USA",36.211957,-86.687301
